cid,len,popden,fclass,betweenness,closeness,node_degree,交通设施,休闲娱乐,公司企业,生活服务,科教文化,购物消费,餐饮美食,住宿住宅
4393_4423,612.797776320526,5033.804,2,0,0,0,6,0,7,3,1,3,0,3
4393_9052,1066.48465329439,7635.856,2,0,0,0,6,5,8,10,9,10,26,7
4423_4471,662.195967065788,4182.926,2,0,0,0,11,2,23,23,14,45,27,8
4440_4497,1500.56417612653,11925.851,4,0,0,0,12,0,1,0,1,0,0,0
4448_4423,392.122175622269,2595.107,4,0.047399460442938704,0.00014572443211420945,6,4,0,16,3,2,3,0,2
4448_4496,693.016782274206,5533.522,4,0,0,0,10,3,30,9,12,32,7,4
4471_4440,1850.93355233366,4656.846,4,0,0,0,13,3,20,26,14,59,37,9
4471_4493,407.471425235014,4821.454,2,0,0,0,8,4,47,41,25,85,77,12
4474_4448,461.99675341758,3307.519,4,0,0,0,5,0,35,1,2,5,0,2
4474_4582,341.878812701402,2001.529,3,0,0,0,3,0,39,3,0,6,0,4
4493_4521,385.668318094922,3233.635,2,0,0,0,16,4,66,57,38,113,105,14
4496_4471,509.156974023222,7759.869,4,0,0,0,12,5,24,26,19,62,32,10
4496_4539,661.75051558897,6172.05,4,0,0,0,19,6,54,40,16,237,46,15
4502_4474,755.23039440649,2901.919,4,0,0,0,3,0,55,3,0,6,0,3
4502_4534,383.502409856454,2189.507,4,0,0,0,3,0,36,2,0,2,0,2
4518_4496,523.813776970941,2938.415,4,0.008971704623878536,0.00015404887677866383,8,10,3,36,12,11,33,9,6
4518_4565,572.499182199653,4277.586,3,0,0,0,13,8,48,32,6,81,22,8
4520_4502,446.873908985452,900.39,4,0,0,0,3,0,42,2,0,5,0,2
4521_4605,658.443756672077,5754.111,2,0,0,0,31,17,105,78,46,475,183,26
4526_4497,889.040448891634,12402.237,4,0,0,0,13,0,4,19,7,25,19,3
4526_9001,507.305839551294,4622.074,4,0,0,0,10,3,5,28,12,61,52,14
4530_4520,245.507866642098,900.39,4,0,0,0,3,0,26,4,0,6,1,2
4530_4607,845.697555731901,3990.944,4,0,0,0,7,0,45,9,3,29,2,3
4534_4556,415.88114379329,2534.711,4,0,0,0,2,0,31,2,0,1,0,0
4536_4497,889.463616909175,8856.842,2,0,0,0,35,1,11,36,19,44,40,4
4536_4562,1242.89375848241,31756.719,2,0.028201267331702116,0.00016055986419613065,8,55,6,57,84,64,84,81,21
4539_4521,447.586209266558,3233.635,4,0,0,0,22,4,88,62,35,265,104,17
4539_4616,558.881879459985,5754.111,4,0,0,0,39,13,96,80,26,440,89,23
4554_4526,674.051947946968,3545.395,3,0,0,0,14,4,9,50,13,67,64,6
4554_4536,1065.73223748301,12402.237,2,0,0,0,46,5,18,71,29,94,87,9
4556_4518,582.758627172772,5473.126,4,0,0,0,5,2,37,9,0,11,3,4
4556_4608,466.089121683991,1245.594,4,0,0,0,2,0,41,4,3,4,1,2
4562_4493,1061.7323465336,15765.87,2,0,0,0,30,10,100,75,59,124,126,23
4562_4589,523.486802788005,11198.298,2,0,0,0,27,15,46,60,38,227,124,17
4563_4554,510.386617359164,7206.53,2,0,0,0,30,8,8,51,25,65,67,9
4563_4642,545.133141905182,3661.135,4,0.010916619612271786,0.00014099445733546943,7,47,7,23,82,27,157,90,24
4563_9001,576.448264312395,5850.095,4,0,0,0,33,9,5,54,25,94,93,20
4565_4539,477.95966858695,7511.221,4,0,0,0,19,10,63,45,12,267,50,15
4565_4603,228.213912677559,1339.171,3,0,0,0,22,9,67,37,8,195,31,9
4582_4518,394.23924347553,4227.532,3,0,0,0,5,2,32,8,0,10,3,6
4589_4605,277.053913652073,2520.476,2,0,0,0,27,14,68,62,26,411,132,23
4603_4630,277.421366821036,1339.171,3,0,0,0,27,9,107,57,16,247,38,12
4605_4616,263.507443096581,2520.476,2,0,0,0,38,20,91,72,25,492,135,20
4605_4671,634.349242021538,6502.732,2,0,0,0,41,15,60,61,21,439,140,28
4607_4556,574.616572572091,1245.594,4,0,0,0,5,0,39,6,3,24,1,1
4607_4639,359.401152645082,1245.594,4,0,0,0,9,1,40,7,6,30,6,2
4608_4624,195.869127570634,2584.765,4,0,0,0,5,2,46,2,8,7,1,4
4609_4530,685.197787424494,4243.684,4,0,0,0,9,0,52,4,0,5,1,2
4609_4645,818.197608725988,3343.294,2,0,0,0,11,0,48,9,2,15,1,1
4609_9011,448.582786869029,1498.334,4,0,0,0,9,0,49,3,0,3,1,0
4615_4563,839.615220410085,4773.416,2,0,0,0,42,12,10,91,43,144,146,19
4615_4579,389.834412275119,1602.917,4,0,0,0,17,5,8,57,23,95,95,10
4616_4630,361.058494159868,3859.647,2,0,0,0,34,14,120,69,25,426,76,19
4624_4603,501.36382752292,1339.171,4,0,0,0,22,10,90,37,12,198,32,11
4630_4650,481.444916265286,1339.171,2,0,0,0,36,10,122,45,21,219,34,17
4630_4680,527.467564906975,7841.903,3,0,0,0,34,11,103,56,15,239,55,18
4634_4554,628.008379665132,7206.53,3,0,0,0,29,7,18,62,18,141,82,10
